stats_status,team_name,total_matches,wins,losses,draws,total_raids,success_raids,all_outs,unsuccess_raids,empty_raid,success_raid_percent,super_raids,total_tackles,success_tackles,unsuccesful_tackles,tackle_success_rate,super_tackles,green_cards,yellow_cards,red_cards
 Season 1,U Mumba,16.0,9.0,4.0,3.0,624.0,270.0,21.0,134.0,220.0,56.0,12.0,409.0,145.0,264.0,38.0,12.0,3.0,0.0,0.0
 Season 2,U Mumba,16.0,14.0,2.0,0.0,697.0,187.0,20.0,154.0,356.0,34.0,7.0,364.0,180.0,184.0,54.0,16.0,23.0,0.0,0.0
 Season 3,U Mumba,16.0,13.0,3.0,0.0,685.0,206.0,27.0,139.0,340.0,37.0,7.0,329.0,163.0,166.0,51.0,6.0,6.0,4.0,0.0
 Season 4,U Mumba,14.0,7.0,6.0,1.0,594.0,188.0,15.0,131.0,275.0,38.0,4.0,293.0,110.0,183.0,41.0,11.0,5.0,1.0,0.0
 Season 5,U Mumba,22.0,10.0,12.0,0.0,963.0,322.0,21.0,219.0,422.0,44.0,10.0,539.0,176.0,363.0,37.0,26.0,13.0,1.0,0.0
 Season 6,U Mumba,23.0,15.0,6.0,2.0,978.0,372.0,41.0,196.0,410.0,47.0,15.0,558.0,274.0,284.0,52.0,15.0,20.0,0.0,0.0
 Season 7,U Mumba,18.0,9.0,8.0,1.0,729.0,238.0,25.0,166.0,325.0,42.0,7.0,377.0,161.0,216.0,46.0,16.0,8.0,0.0,0.0
,U Mumba,125.0,77.0,41.0,7.0,5270.0,1783.0,170.0,1139.0,2348.0,43.0,62.0,2870.0,1210.0,1660.0,46.0,102.0,78.0,6.0,0.0
 Season 1,Patna Pirates,16.0,8.0,6.0,2.0,638.0,253.0,18.0,134.0,251.0,50.0,13.0,380.0,124.0,256.0,37.0,18.0,8.0,0.0,0.0
 Season 2,Patna Pirates,16.0,7.0,8.0,1.0,701.0,182.0,13.0,159.0,360.0,33.0,4.0,376.0,152.0,224.0,44.0,13.0,10.0,1.0,0.0
 Season 3,Patna Pirates,16.0,12.0,2.0,2.0,703.0,241.0,30.0,129.0,333.0,46.0,16.0,405.0,175.0,230.0,45.0,7.0,4.0,2.0,0.0
