series_name,team_name,player_name,position_name,match_played,total_points,total_raid_points,tackle_points,total_raids,success_raids,unsuccess_raids,empty_raid,super_raids,success_raid_percent,tackle_success_rate,total_tackles,success_tackles,unsuccesful_tackles,super_tackles,most_point_in_a_match,green_cards,yellow_cards,red_cards
 Overall,Bengal Warriors,Viraj Vishnu Landge,"Defender, left cover",34.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89,112.0,29.0,83.0,0.0,3.0,2.0,0.0,0.0
 Season 6,Puneri Paltan,Parvesh,Raider,6.0,12.0,7.0,5.0,30.0,5.0,11.0,14.0,0.0,23.33,50.0,10.0,4.0,6.0,1.0,5.0,0.0,0.0,0.0
 Overall,Puneri Paltan,Parvesh,Raider,6.0,12.0,7.0,5.0,30.0,5.0,11.0,14.0,0.0,23.33,50.0,10.0,4.0,6.0,1.0,5.0,0.0,0.0,0.0
 Season 5,Patna Pirates,Satish,"Defender, right corner",10.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,12.5,24.0,3.0,21.0,0.0,1.0,0.0,0.0,0.0
 Overall,Patna Pirates,Satish,"Defender, right corner",10.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,12.5,24.0,3.0,21.0,0.0,1.0,0.0,0.0,0.0
 Season 5,Jaipur Pink Panthers,Nitin Rawal,All Rounder,21.0,85.0,65.0,20.0,148.0,49.0,28.0,71.0,4.0,43.91,38.46,52.0,19.0,33.0,1.0,14.0,1.0,0.0,0.0
 Season 6,Jaipur Pink Panthers,Nitin Rawal,All Rounder,9.0,31.0,25.0,6.0,57.0,19.0,12.0,26.0,1.0,43.85,54.54,11.0,5.0,6.0,1.0,11.0,3.0,0.0,0.0
 Season 7,Jaipur Pink Panthers,Nitin Rawal,All Rounder,15.0,51.0,32.0,19.0,96.0,23.0,24.0,49.0,1.0,33.33,59.37,32.0,15.0,17.0,4.0,8.0,1.0,0.0,0.0
 Overall,Jaipur Pink Panthers,Nitin Rawal,All Rounder,45.0,167.0,122.0,45.0,301.0,91.0,64.0,146.0,6.0,40.53,47.36,95.0,39.0,56.0,6.0,14.0,5.0,0.0,0.0
 Season 5,Dabang Delhi K.C.,Tushar Balaram Bhoir,"Defender, right cover",8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42,14.0,2.0,12.0,1.0,2.0,0.0,0.0,0.0
