series_name,team_name,player_name,position_name,match_played,total_points,total_raid_points,tackle_points,total_raids,success_raids,unsuccess_raids,empty_raid,super_raids,success_raid_percent,tackle_success_rate,total_tackles,success_tackles,unsuccesful_tackles,super_tackles,most_point_in_a_match,green_cards,yellow_cards,red_cards
 Overall,U Mumba,Rohit Rana,"Defender, left cover",82.0,138.0,2.0,136.0,15.0,1.0,5.0,9.0,0.0,13.33,38.74,351.0,131.0,220.0,5.0,9.0,3.0,1.0,0.0
 Season 1,Dabang Delhi K.C.,Rupesh Tomar,All Rounder,5.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,100.0,18.75,16.0,3.0,13.0,1.0,2.0,0.0,0.0,0.0
 Season 2,Dabang Delhi K.C.,Rupesh Tomar,All Rounder,6.0,10.0,4.0,6.0,5.0,3.0,1.0,1.0,0.0,60.0,22.22,18.0,4.0,14.0,2.0,4.0,0.0,0.0,0.0
 Season 4,Dabang Delhi K.C.,Rupesh Tomar,All Rounder,3.0,3.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,50.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0
 Season 5,Dabang Delhi K.C.,Rupesh Tomar,All Rounder,1.0,1.0,0.0,1.0,7.0,0.0,0.0,7.0,0.0,0.0,50.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
 Overall,Dabang Delhi K.C.,Rupesh Tomar,All Rounder,15.0,19.0,5.0,14.0,17.0,4.0,4.0,9.0,0.0,23.52,26.19,42.0,11.0,31.0,3.0,4.0,0.0,0.0,0.0
 Season 5,U.P. Yoddha,Santhosh B.S,"Defender, left corner",9.0,12.0,3.0,9.0,18.0,1.0,6.0,11.0,1.0,5.55,36.36,22.0,8.0,14.0,1.0,3.0,1.0,0.0,0.0
 Overall,U.P. Yoddha,Santhosh B.S,"Defender, left corner",9.0,12.0,3.0,9.0,18.0,1.0,6.0,11.0,1.0,5.55,36.36,22.0,8.0,14.0,1.0,3.0,1.0,0.0,0.0
 Season 1,Tamil Thalaivas,Shabeer Bappu,Raider,10.0,67.0,66.0,1.0,119.0,51.0,12.0,56.0,2.0,55.46,7.69,13.0,1.0,12.0,0.0,15.0,0.0,0.0,0.0
 Season 2,Tamil Thalaivas,Shabeer Bappu,Raider,10.0,47.0,46.0,1.0,124.0,36.0,25.0,63.0,2.0,37.09,16.66,6.0,1.0,5.0,0.0,10.0,1.0,0.0,0.0
 Season 3,Tamil Thalaivas,Shabeer Bappu,Raider,10.0,13.0,13.0,0.0,67.0,11.0,19.0,37.0,0.0,19.4,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
 Season 4,Tamil Thalaivas,Shabeer Bappu,Raider,12.0,35.0,24.0,11.0,100.0,18.0,10.0,72.0,1.0,24.0,57.89,19.0,6.0,13.0,5.0,10.0,0.0,0.0,0.0
 Season 5,Tamil Thalaivas,Shabeer Bappu,Raider,12.0,38.0,35.0,3.0,108.0,30.0,21.0,57.0,0.0,32.4,21.42,14.0,2.0,12.0,1.0,13.0,0.0,1.0,0.0
 Season 6,Tamil Thalaivas,Shabeer Bappu,Raider,6.0,7.0,7.0,0.0,26.0,6.0,9.0,11.0,0.0,26.92,0.0,7.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0
 Season 7,Tamil Thalaivas,Shabeer Bappu,Raider,14.0,29.0,22.0,7.0,93.0,17.0,12.0,64.0,0.0,23.65,31.81,22.0,6.0,16.0,1.0,5.0,0.0,0.0,0.0
 Overall,Tamil Thalaivas,Shabeer Bappu,Raider,74.0,236.0,213.0,23.0,637.0,169.0,108.0,360.0,5.0,33.43,27.05,85.0,16.0,69.0,7.0,15.0,1.0,1.0,0.0
 Season 3,U.P. Yoddha,Shrikant Jadhav,Raider,5.0,10.0,10.0,0.0,35.0,9.0,15.0,11.0,0.0,28.57,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0
 Season 4,U.P. Yoddha,Shrikant Jadhav,Raider,5.0,7.0,7.0,0.0,16.0,6.0,5.0,5.0,0.0,43.75,0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0
 Season 5,U.P. Yoddha,Shrikant Jadhav,Raider,19.0,98.0,86.0,12.0,170.0,70.0,43.0,57.0,2.0,50.58,54.54,22.0,10.0,12.0,2.0,13.0,1.0,0.0,0.0
 Season 6,U.P. Yoddha,Shrikant Jadhav,Raider,25.0,146.0,141.0,5.0,332.0,108.0,98.0,126.0,4.0,42.46,45.45,11.0,4.0,7.0,1.0,17.0,0.0,0.0,0.0
 Season 7,U.P. Yoddha,Shrikant Jadhav,Raider,17.0,106.0,103.0,3.0,222.0,76.0,51.0,95.0,2.0,46.39,37.5,8.0,3.0,5.0,0.0,15.0,0.0,0.0,0.0
 Season 2,U.P. Yoddha,Shrikant Jadhav,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,U.P. Yoddha,Shrikant Jadhav,Raider,71.0,367.0,347.0,20.0,775.0,269.0,212.0,294.0,8.0,44.77,44.44,45.0,17.0,28.0,3.0,17.0,1.0,0.0,0.0
 Season 1,Bengal Warriors,Shrikant Tewthia,All Rounder,14.0,50.0,41.0,9.0,89.0,37.0,25.0,27.0,0.0,46.06,24.32,37.0,8.0,29.0,1.0,12.0,0.0,0.0,0.0
 Season 2,Bengal Warriors,Shrikant Tewthia,All Rounder,9.0,19.0,10.0,9.0,37.0,9.0,11.0,17.0,0.0,27.02,29.03,31.0,8.0,23.0,1.0,6.0,0.0,0.0,0.0
 Season 3,Bengal Warriors,Shrikant Tewthia,All Rounder,13.0,33.0,20.0,13.0,58.0,16.0,10.0,32.0,1.0,34.48,33.33,39.0,12.0,27.0,1.0,5.0,0.0,0.0,0.0
 Season 4,Bengal Warriors,Shrikant Tewthia,All Rounder,4.0,2.0,0.0,2.0,7.0,0.0,4.0,3.0,0.0,0.0,40.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0
 Season 5,Bengal Warriors,Shrikant Tewthia,All Rounder,23.0,40.0,4.0,36.0,5.0,2.0,2.0,1.0,1.0,80.0,35.64,101.0,31.0,70.0,5.0,6.0,1.0,0.0,0.0
 Season 6,Bengal Warriors,Shrikant Tewthia,All Rounder,8.0,13.0,3.0,10.0,9.0,2.0,2.0,5.0,0.0,33.33,37.03,27.0,10.0,17.0,0.0,4.0,0.0,0.0,0.0
 Overall,Bengal Warriors,Shrikant Tewthia,All Rounder,71.0,157.0,78.0,79.0,205.0,66.0,54.0,85.0,2.0,38.04,32.91,240.0,70.0,170.0,9.0,12.0,1.0,0.0,0.0
 Season 1,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
 Season 2,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",14.0,35.0,1.0,34.0,1.0,1.0,0.0,0.0,0.0,100.0,51.61,62.0,32.0,30.0,2.0,6.0,3.0,0.0,0.0
 Season 3,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
 Season 4,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",16.0,22.0,0.0,22.0,2.0,0.0,1.0,1.0,0.0,0.0,36.84,57.0,21.0,36.0,1.0,4.0,1.0,0.0,0.0
 Season 5,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",22.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,29.89,97.0,29.0,68.0,1.0,4.0,4.0,0.0,0.0
 Overall,Jaipur Pink Panthers,Somvir Shekhar,"Defender, right cover",61.0,87.0,1.0,86.0,3.0,1.0,1.0,1.0,0.0,33.33,32.66,251.0,82.0,169.0,4.0,6.0,8.0,0.0,0.0
 Season 1,Bengal Warriors,Sukesh Hegde,Raider,14.0,83.0,79.0,4.0,130.0,60.0,24.0,46.0,3.0,60.76,19.04,21.0,4.0,17.0,0.0,9.0,0.0,0.0,0.0
 Season 2,Bengal Warriors,Sukesh Hegde,Raider,13.0,64.0,62.0,2.0,133.0,44.0,22.0,67.0,5.0,46.61,15.38,13.0,2.0,11.0,0.0,9.0,0.0,0.0,0.0
 Season 3,Bengal Warriors,Sukesh Hegde,Raider,13.0,64.0,61.0,3.0,146.0,49.0,29.0,68.0,0.0,41.78,18.75,16.0,2.0,14.0,1.0,9.0,0.0,0.0,0.0
 Season 4,Bengal Warriors,Sukesh Hegde,Raider,9.0,7.0,7.0,0.0,38.0,5.0,8.0,25.0,0.0,18.42,0.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0
 Season 5,Bengal Warriors,Sukesh Hegde,Raider,18.0,77.0,75.0,2.0,235.0,58.0,29.0,148.0,2.0,31.91,15.38,13.0,2.0,11.0,0.0,15.0,3.0,0.0,0.0
 Season 6,Bengal Warriors,Sukesh Hegde,Raider,17.0,71.0,68.0,3.0,176.0,51.0,31.0,94.0,3.0,38.63,15.78,19.0,2.0,17.0,1.0,9.0,1.0,0.0,0.0
 Season 7,Bengal Warriors,Sukesh Hegde,Raider,12.0,34.0,33.0,1.0,73.0,22.0,13.0,38.0,2.0,45.2,25.0,4.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0
 Overall,Bengal Warriors,Sukesh Hegde,Raider,96.0,400.0,385.0,15.0,931.0,289.0,156.0,486.0,15.0,41.35,16.12,93.0,13.0,80.0,2.0,15.0,4.0,0.0,0.0
 Season 7,Telugu Titans,Suraj Desai,Raider,12.0,45.0,44.0,1.0,103.0,35.0,31.0,37.0,1.0,42.71,14.28,7.0,1.0,6.0,0.0,18.0,0.0,0.0,0.0
 Season 2,Telugu Titans,Suraj Desai,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Telugu Titans,Suraj Desai,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Telugu Titans,Suraj Desai,Raider,12.0,45.0,44.0,1.0,103.0,35.0,31.0,37.0,1.0,42.71,14.28,7.0,1.0,6.0,0.0,18.0,0.0,0.0,0.0
 Season 3,Tamil Thalaivas,CPO Surjeet Singh,Raider,12.0,68.0,68.0,0.0,165.0,54.0,58.0,53.0,0.0,41.21,0.0,6.0,0.0,6.0,0.0,13.0,0.0,1.0,0.0
 Season 4,Tamil Thalaivas,CPO Surjeet Singh,Raider,10.0,37.0,33.0,4.0,74.0,27.0,14.0,33.0,1.0,44.59,33.33,12.0,4.0,8.0,0.0,7.0,0.0,0.0,0.0
 Season 5,Tamil Thalaivas,CPO Surjeet Singh,Raider,17.0,63.0,59.0,4.0,146.0,47.0,36.0,63.0,1.0,40.41,36.36,11.0,4.0,7.0,0.0,10.0,1.0,0.0,0.0
 Season 6,Tamil Thalaivas,CPO Surjeet Singh,Raider,9.0,16.0,16.0,0.0,45.0,10.0,14.0,21.0,1.0,35.55,0.0,4.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0
 Season 2,Tamil Thalaivas,CPO Surjeet Singh,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Tamil Thalaivas,CPO Surjeet Singh,Raider,48.0,184.0,176.0,8.0,430.0,138.0,122.0,170.0,3.0,40.93,24.24,33.0,8.0,25.0,0.0,13.0,1.0,1.0,0.0
 Season 5,Patna Pirates,Vikas Jaglan,All Rounder,13.0,13.0,10.0,3.0,25.0,8.0,6.0,11.0,1.0,40.0,33.33,9.0,3.0,6.0,0.0,5.0,0.0,0.0,0.0
 Season 6,Patna Pirates,Vikas Jaglan,All Rounder,14.0,37.0,21.0,16.0,42.0,13.0,9.0,20.0,1.0,50.0,43.24,37.0,16.0,21.0,0.0,9.0,2.0,0.0,0.0
 Season 7,Patna Pirates,Vikas Jaglan,All Rounder,19.0,28.0,12.0,16.0,56.0,7.0,11.0,38.0,0.0,21.42,30.18,53.0,16.0,37.0,0.0,6.0,0.0,0.0,0.0
 Overall,Patna Pirates,Vikas Jaglan,All Rounder,46.0,78.0,43.0,35.0,123.0,28.0,26.0,69.0,2.0,34.95,35.35,99.0,35.0,64.0,0.0,9.0,2.0,0.0,0.0
 Season 1,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",16.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76,65.0,19.0,46.0,1.0,5.0,0.0,0.0,0.0
 Season 2,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",14.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,49.05,53.0,26.0,27.0,0.0,5.0,1.0,0.0,0.0
 Season 3,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",13.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71,35.0,16.0,19.0,0.0,3.0,0.0,0.0,0.0
 Season 4,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",14.0,31.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,46.96,66.0,28.0,38.0,3.0,6.0,1.0,0.0,0.0
 Season 5,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",26.0,39.0,0.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,34.51,113.0,36.0,77.0,3.0,6.0,2.0,1.0,0.0
 Season 6,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",22.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,95.0,36.0,59.0,2.0,6.0,4.0,0.0,0.0
 Season 7,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",18.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,31.94,72.0,23.0,49.0,0.0,3.0,0.0,0.0,0.0
 Overall,Dabang Delhi K.C.,Vishal Mane,"Defender, right cover",123.0,193.0,0.0,193.0,2.0,0.0,1.0,1.0,0.0,0.0,38.67,499.0,184.0,315.0,9.0,6.0,8.0,1.0,0.0
 Season 1,Haryana Steelers,Wazir Singh,Raider,12.0,111.0,104.0,7.0,179.0,85.0,43.0,51.0,2.0,58.1,46.66,15.0,5.0,10.0,2.0,16.0,0.0,1.0,0.0
 Season 2,Haryana Steelers,Wazir Singh,Raider,11.0,67.0,65.0,2.0,154.0,48.0,36.0,70.0,2.0,42.2,22.22,9.0,2.0,7.0,0.0,13.0,4.0,1.0,0.0
 Season 3,Haryana Steelers,Wazir Singh,Raider,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Haryana Steelers,Wazir Singh,Raider,21.0,120.0,107.0,13.0,271.0,86.0,42.0,143.0,3.0,39.48,48.14,27.0,11.0,16.0,2.0,14.0,5.0,0.0,0.0
 Season 6,Haryana Steelers,Wazir Singh,Raider,2.0,2.0,2.0,0.0,10.0,2.0,3.0,5.0,0.0,20.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
