MatchId,MatchResult,SeasonId,Team1,Team1Score,Team1_all_outs_conceded,Team2,Team2Score,Team2_all_outs_conceded,home_team_name
Match 77,Bengaluru Bulls beat Telugu Titans (40-39), Season 7,Bengaluru Bulls,40.0,1.0,Telugu Titans,39.0,2.0,Bengaluru Bulls
Match 78,Match Tied, Season 7,Bengal Warriors,25.0,0.0,Gujarat Fortunegiants,25.0,0.0,Bengal Warriors
Match 79,Haryana Steelers beat Dabang Delhi K.C. (47-25), Season 7,Dabang Delhi K.C.,25.0,3.0,Haryana Steelers,47.0,0.0,
Match 80,Dabang Delhi K.C. beat Tamil Thalaivas (50-34), Season 7,Dabang Delhi K.C.,50.0,0.0,Tamil Thalaivas,34.0,3.0,
Match 81,Bengal Warriors beat Puneri Paltan (42-39), Season 7,Bengal Warriors,42.0,2.0,Puneri Paltan,39.0,2.0,Bengal Warriors
Match 82,U.P. Yoddha beat Gujarat Fortunegiants (33-26), Season 7,U.P. Yoddha,33.0,1.0,Gujarat Fortunegiants,26.0,2.0,
Match 83,Patna Pirates beat Tamil Thalaivas (51-25), Season 7,Tamil Thalaivas,25.0,4.0,Patna Pirates,51.0,0.0,
Match 84,Match Tied, Season 7,Haryana Steelers,32.0,2.0,Jaipur Pink Panthers,32.0,1.0,
Match 85,Bengal Warriors beat U Mumba (29-26), Season 7,Bengal Warriors,29.0,0.0,U Mumba,26.0,1.0,Bengal Warriors
Match 86,Patna Pirates beat Jaipur Pink Panthers (36-33), Season 7,Jaipur Pink Panthers,33.0,1.0,Patna Pirates,36.0,0.0,
Match 87,U Mumba beat Telugu Titans (41-27), Season 7,Telugu Titans,27.0,3.0,U Mumba,41.0,1.0,
Match 88,Bengal Warriors beat Bengaluru Bulls (42-40), Season 7,Bengal Warriors,42.0,1.0,Bengaluru Bulls,40.0,2.0,Bengal Warriors
Match 89,Puneri Paltan beat Gujarat Fortunegiants (43-33), Season 7,Puneri Paltan,43.0,1.0,Gujarat Fortunegiants,33.0,2.0,Puneri Paltan
Match 90,Haryana Steelers beat Tamil Thalaivas (43-35), Season 7,Tamil Thalaivas,35.0,2.0,Haryana Steelers,43.0,1.0,
Match 91,Dabang Delhi K.C. beat Gujarat Fortunegiants (34-30), Season 7,Dabang Delhi K.C.,34.0,1.0,Gujarat Fortunegiants,30.0,2.0,
Match 92,Patna Pirates beat Puneri Paltan (55-33), Season 7,Puneri Paltan,33.0,4.0,Patna Pirates,55.0,0.0,Puneri Paltan
Match 93,U.P. Yoddha beat Jaipur Pink Panthers (38-32), Season 7,Jaipur Pink Panthers,32.0,2.0,U.P. Yoddha,38.0,0.0,
Match 94,Dabang Delhi K.C. beat Telugu Titans (37-29), Season 7,Telugu Titans,29.0,2.0,Dabang Delhi K.C.,37.0,0.0,
Match 95,U Mumba beat U.P. Yoddha (39-36), Season 7,U Mumba,39.0,1.0,U.P. Yoddha,36.0,2.0,
Match 96,Match Tied, Season 7,Puneri Paltan,36.0,1.0,Tamil Thalaivas,36.0,2.0,Puneri Paltan
Match 97,Bengal Warriors beat Haryana Steelers (48-36), Season 7,Bengal Warriors,48.0,1.0,Haryana Steelers,36.0,3.0,
Match 98,Match Tied, Season 7,Telugu Titans,42.0,2.0,Patna Pirates,42.0,2.0,
Match 99,Puneri Paltan beat Bengaluru Bulls (42-38), Season 7,Puneri Paltan,42.0,1.0,Bengaluru Bulls,38.0,2.0,Puneri Paltan
